judul_proposal,deskripsi
"Konsep dasar multimedia termasuk modalities (text, sound, image, animation dan video), sensor dan camera, video encoding, streaming video dan audio, multimedia container, interaksi user, pemrograman multimedia",sistem komputer
"Dasar IAS, keamanan jaringan, pengantar kriptografi, manajemen resiko, kebijakan dan pengaturan keamanan, digital forensics, keamanan pada administrasi sistem and arsitektur, keamanan pd SDLC",sistem komputer
"Kuliah ini membahas mengenai kebudayaan, sosial, hukum, dan isu etika yang terkait dengan disiplin ilmu informatika, peran-peran yang dapat dijalankan sebagai praktisi informatika, konteks sosial dimana solusi keinformatikaan diterapkan, profesionalisme, serta komunikasi efektif.",social and professional issue
"Kuliah ini memberikan pengertian tentang rekayasa perangkat lunak dan kemampuan dasar dalam membangun perangkat lunak skala kecil dan sederhana, serta kemampuan mengoperasikan tools terkait pemodelan perangkat lunak.",software engineering
"Kuliah ini memberikan pengetahuan mengenai manajemen proyek pengembangan perangkat lunak , lingkungan pengembangan proyek, karakteristik proyek, serta resiko yang sering terjadi dalam pelaksanaan proyek perangkat lunak",software engineering
"Materi yang tercakup di dalamnya meliputi: Konsep dan Prinsip Desain Interaksi, Domain masalah dan Konseptualisasi, Aspek Kognitif, Interaksi Emosional, Interaksi Sosial, Antamuka dan Interaksi, Pengumpulan Data dan Analisis, Proses Desain Interaksi, Desain, Pembangunan Prototype, dan Konstruksi Produk Interaktif, Ujicoba Usability, Evaluasi Analitik",software engineering
"Kuliah ini memberikan gambaran kompleksitas dan pengalaman mengenai pengembangan perangkat lunak skala besar. Mahasiswa memanfaatkan/ menggunakan berbagai platform, framework, dan tools yang biasa dipakai untuk proyek berskala besar",software engineering
"Matakuliah ini memberikan dasar pengetahuan tentang produk, teknologi, tools dan proses/metodologi mengembangkan perangkat lunak di mana domain memegang peranan penting yang harus diperhatikan.",software engineering
"Kuliah ini memberikan pemahaman mengenai berbagai aspek terkait pembangunan perangkat lunak berorientasi service, serta praktek pembangunan perangkat lunak berorientasi service skala kecil",software engineering
"Kuliah ini memberikan pengetahuan tentang konsep dasar komponen dan pembangunan perangkat lunak berbasis komponen, serta memberikan praktek pembangunan perangkat lunak skala sedang berbasis komponen",software engineering
"Analisis dan desain rangkaian elektronik. Amplifier rangkaian terpadu: blok bangunan, diferensial dan tahap ganda, umpan balik, rangkaian opamp. Filter dan tuned-amplifier. Rangkaian untuk pembangkitan sinyal, regulasi tegangan, elemen penyimpanan digital. ",hardware
"Fisik, operasi, dan model dioda, BJT, MOSFET, dan thyristor. Analisis dan desain penguat satu tahap: bias DC, perilaku sinyal kecil, dan tanggapan frekuensi. Tahap output dan penguat daya. Logika CMOS. ",hardware
"Struktur Material : Kristal, polikristal dan amorph; Struktur kristal dan parameters : konstanta kisi2, sel satuan, 14 sistem Bravais,indeks Miller (kisi2 resiprokal ).",hardware
"Vibrasi Kisi2 : mekanika gelombang; Emisi Phonon : phonon akustik, phonon optik;",hardware
Ikatan Kristal : enerji kohesif dan tipe ikatan Kristal ;,hardware
"Model Ban Enerji : Potensial periodic kisi2 kristal; Model Kronnig-Penney, Model Ban Enerji ; Konsep electron (konduksi) dan hole",hardware
"Statistika partikel : Statistika Fermi Dirac, Fermi Dirac function",hardware
"Density of states (DOS), konsentrasi pembawa muatan : elektron dan hole, level enerji Fermi level (eF); Scattering pembawa muatan : scattering-kisi2 (Lattice Scattering), Scattering Ketidakmurnian (ionized impurity/Coulombic scattering), scattering rate, mobilitas electron (hole) (m); Relasi mobilitas terhadap temperatur, medan listrik dan kecepatan saturasi; Arus Drift ; Proses Difusi : Arus difusi ; Persamaan Kontinyuitas : mekanisme R(ekombinasi) _ G(enerasi) pembawa muatan; Mekanisme fisika Dioda P-N Junction : proses difusi antar junction, ruang-muatan (daerah deplesi) dan barier potensial •built-upê. Penurunan karakteristik arus-tegangan Dioda P-N (Karakteristik I-V) : relasi terhadap to beda potential (catu daya •forwardê and •reverseê bias), komponen arus dioda",hardware
" History and Overview; Vector Analysis;Coulombês Law, Electric Field Intensity; Electric Flux Density, Gaussês Law, Divergence; Energy, Potential, Gradient; Conductors, Dielectrics, Capacitance; Poissonês and Lapaceês Equations; The steady magnetic field, curl; Magnetic Forces, materials, inductance; Time Varying Fields, Maxwellês Equations; Uniform Plane Wave, Plane Waves at boundaries and in dispersive media; Transmission lines; Waveguide and antenna fundamentals; Huygens-Freshnel Principle, spatial frequency, angular spectrum",hardware
"Konsep dasar, hukum-2 dasar, metoda analisis, teorema rangkaian, operational amplifier, kapasitor & induktor, rangkaian orde-1, rangkaian orde-2, rangkaian sinusoidal: fasor, pemodelan, dan analisa steady state rangkaian orde-1 dan 2. ",hardware
"Sejarah dan Tinjauan Pengolahan Sinyal Digital, Teori dan Konsep, Sinyal dan Sistem Waktu Diskrit, Analisis Sistem LTI dengan transformasi-z, Analisis frekuensi dari sinyal dan sistem, Discrete Fourier Transform (DFT) dan Fast Fourier Transform (FFT), Analisis Spektrum, Implementasi Sistem Waktu Diskrit, Perancangan Filter Digital",hardware
Tahap output dan penguat daya; Karakteristik amplifier diferensial dan respon frekuensi penguat; Penguat umpan balik dan sifat-sifatnya; Osilator; Regulator tegangan: linear dan beralih-mode. ,hardware
Pengamatan dan penentuan karakteristik device semikonduktor. Sirkuit-sirkuit dioda. Penentuan bias DC. Penguat transistor tunggal dengan BJT dan MOSFET. Transistor sebagai saklar. Perancangan dan implementasi penguat sederhana dengan transistor pada PCB. ,hardware
"Penguasaan instrumen laboratorium. Percobaan dengan rangkaian dasar dengan resistor, kapasitor, induktor, dan op-amp. Rangkaian DC and teorema rangkaian, rangkaian opamps, gejala transient, impedansi, prinsip frekuensi respon, rangkaian resonansi. ",hardware
"Pengamatan dan penentuan karakteristik teknologi implementasi sistem digital. Implementasi pada FPGA. Perancangan sistem kombinasional, sistem sekuensial, dan perancangan kontroler/aplikasi dengan tingkat kompleksitas sedang. ",hardware
"Mahasiswa melakukan praktek realisasi sistem kendali baik posisi maupun kecepatan pada pada sebuah motor DC dengan perangkatmodularanalog/digitalyangtersedia. Praktikuminifokuspadasistemkendalianalogdenganpengenalanpadasistem kendali digital sederhana. Mahasiswa melakukan proses identifikasi motor DC, melakukan simulasi sistem kendali analog dan digital sederhana, merancang dan merealisasikan pengendali PID , merealisasikan sistem kendali posisi/kecepatan, kemudian membandingkan antara hasil perhitungan, simulasi, dan pengukuran langsung. ",hardware
Menggunakan toolchain untuk pemrograman mikrokontroler 8 bit. Bus mikroprosesor 8 bit. Antar muka digital. Antar muka analog. Komunikasi serial. Display LCD. Menggunakan toolchain untuk pemrograman mikrokontroler 8 bit . Input output digital mikrokontroler 32 bit. Menggunakan sistem operasi untuk mikrokontroler 32 bit. Membuat aplikasi 32 bit sederhana. ,hardware
"Tipe Perangkat Lunak (P/L); Pengantar Rekayasa P/L; Siklus Hidup P/L, mencakup pengumpulan kebutuhan, analisis, perancangan, implementasi, pengujian,pengoperasian, dan perawatan; Berbagai Model Proses,mencakup waterfall, prototyping, incremental, agile process model, dll; Metodologi Pembangunan P/L (termasuk metode berorientasi objek): kelebihan, kekurangan dan aspek praktisnya di industri; Standard dan Dokumentasi P/L, mencakup SDD, SRS, SDD, STP; Alat Bantu Pemodelan P/L, mencakup UML dan DFD; Studi Kasus: Pembangunan P/L Skala Kecil(diberikan spesifikasi kebutuhan, dilakukan analisis, perancangan, dan perencanaaan pengujian)",software engineering
"Manajemen dan manajemen proyek; manajemen proyek pembangunan perangkat lunak mencakup: inisiasi, perencanaan eksekusi, pemantauan dan pengendalian, dan penutupan proyek; alat bantu, mencakup alat bantu P/L, pengukuran dan metrik; manajemen scope, waktu dan biaya; manajemen kualitas; manajemen resiko; manajemen sumberdaya dan komunikasi;manajemen pengadaan; manajemen integrasi; etika di bidang manajemen",software engineering
"Kuliah ini membahas mengenai konsep desain, pengenalan karakteristik pengguna, aspek praktis dan penelitian terkait antarmuka pengguna, pengumpulan data, framework analisis, proses desain interaksi, dan berbagai pendekatan untuk mengevaluasi antarmuka interaktif.",software engineering
"Definisi perangkat lunak skala besar; berbagai masalah dalam pengembangan perangkat lunak skala besar dan solusinya; abstraksi; SW Pattern; code generator; pengenalan berbagai platform, framework, dan tools; konfigurasi P/L (konsep, tools, practices...); dilengkapi dengan studi kasus berupa proyek pembangunan P/L skala besar dengan mempraktekkan semua teori yang telah diberikan, atau berupa reverse engineering suatu perangkat lunak skala besar untuk mendapatkan modelnya",software engineering
"Kuliah ini memberikan pengetahuan mengenai topik-topik sehubungan dengan pengembangan perangkat lunak yang domainnya perlu mendapat perhatian khusus. Topik yang dicakup: pengertian domain, domain data modeling, software architecture for domain oriented software, domain driven software development, Domain Spesific Languages, Sharing from domain expert, Case studies.",software engineering
"Definisi, karakteristik, dan standard terkait service; service provider: perancangan, implementasi, dan publikasi service; service consumer: memanfaatkan service; platform dan tools; SaaS; metodologi pembangunan P/L berorientasi service; serta praktek membangun sebuah P/L berskala kecil yang memanfaatkan service yang dibangun oleh kelompok lainnya",software engineering
"Konsep Dasar P/L Berbasis Komponen, Spesifikasi Komponen, Proses Pembangunan PL Berbasis Komponen (Metodologi), Komposisi dan Integrasi Komponen, Testing dan Quality Assurance untuk PL berbasis Komponen, Sistem terdistribusi berbasis komponen, Pengenalan berbagai teknologi komponen : CORBA, DCOM, Pengenalan dan eksplorasi platform yang mendukung komponen, Praktek membangun sebuah perangkat lunak dengan memakai salah satu teknologi dan platform yang diajarkan",software engineering
"Setelah lulus dari kuliah ini, mahasiswa mampu mengenali berbagai tipe perangkat lunak dan karakteristiknya, memahami berbagai semua istilah dan terminologi di bidang rekayasa perangkat lunak, memahami pentingnya rekayasa perangkat lunak, memahami beberapa model proses pembangunan perangkat lunak dan metodologi pembangunan perangkat lunak, menerapkan pengetahuiannya untuk membangun perangkat lunak skala kecil dengan memanfaatkan alat bantu yang diperlukan ",software engineering
"Mahasiswa mampu memahami konsep-konsep penting, prinsip, dan aspek manusia di dalam desain interaksi. Mahasiswa mampu membedakan isu desain dan riset yang terkait dengan berbagai tipe interaksi dan antarmuka. Mahasiswa mampu mengidentifikasi permasalahan usability dan user experience dalam kehidupan sehari-hari. Mahasiswa mampu mengaplikasikan pengetahuan konsep dan prinsip desain interaksi untuk membangun produk yang bermanfaat. Mahasiswa mampu melaksanakan ujicona usability dan evaluasi analitik. Mahasiswa mampu mengimplementasikan ide desain yang dimiliki dalam bentuk oral dan tulisan. ",software engineering
Mahasiswa memiliki pemahaman mengenai berbagai fungsionalitas yang dimiliki oleh suatu sistem manajemen basis data. Mahasiswa mampu meningkatkan performansi basis data sesuai kebutuhan operasi di organisasi. Mahasiswa mampu menyusun batasan integritas basis data berdasarkan aturan bisnis organisasi dan mengimplementasikan di basis data. Mahasiswa mampu melakukan fungsi administrator basis data,software engineering
"Setelah lulus kuliah ini, mahasiswa mampu untuk: 1. Memahami definisi P/L skala besar serta berbagai persoalan pengembangan P/L skala besar 2. Memahami teknik/metoda terkait dengan pembangunan P/L skala besar, seperti manajemen konfigurasi P/L 3. Mengenal dan mengoperasikan beberapa platform, frameworks, DBMS, dan tools yang dipakai untuk mengembangkan P/L skala besar. 4. Melakukan instalasi, mempraktekkan manajemen konfigurasti P/L, serta melakukan Bugs tracking (dalam case study) 5. Mempraktekkan suatu metodologi untuk mengembangkan P/L skala besar secara terukur, dengan suatu studi kasus, atau untuk mengenal struktur dan melakukan reverse engineering terhadap P/L skala besar yang ada [termasuk program reading] ",software engineering
"Setelah lulus kuliah ini, mahasiswa mampu memahami pengembangan perangkat lunak yang domainnya memerlukan penanganan khusus, metodologi, teknik dan tools terkait domain oriented software development.",software engineering
"Setelah lulus kuliah ini, mahasiswa mampu: 1. Memahami tentang “service”, standard, service life cycle, dan pembangunan PL berorientasi service 2. Menggunakan tools dan platform untuk pembangunan P/L berorientasi service 3. Mempraktekkan pembangunan P/L berorientasi service ",software engineering
"Setelah lulus kuliah ini, mahasiswa mampu : 1. Memahami komponen P/L dan pembangunan P/L berbasis komponen 2. Mengenal dan mengoperasikan beberapa tools yang untuk menunjang pembangunan P/L berbasis komponen 3. Membangun suatu P/L berskala sedang dengan menerapkan secara konsisten metodologi berbasis komponen, dan mengimplementasikan dengan platform dan tools yang dipelajarinya  ",software engineering
"Materi yang tercakup di dalamnya meliputi:  Konteks Sosial  Kakas penganalisis  Etika Profesional  Hak atas Kebebasan Intelektual  Privacy and Civil Liberties  Komunikasi Profesional  Sustainabilitas  Kebijakan keamanan, hukum, dan kejahatan di dunia komputer. ",social and professional issue
"1. Mahasiswa mampu memahami dasar-dasar kebudayaan, sosial, hukum, dan isu etika yang terkait dengan disiplin ilmu Informatika termasuk hak-hak hukum hukum yang dimiliki pengguna dan pembuat perangkat lunak dan perangkat keras, dan menghargai nilai etika yang mendasari hukum tersebut. 2. Mahasiswa mampu memahami tanggung jawab yang akan dipikul sebagai praktisi di bidang keinformatikaan, memahami keterbatasan yang dimiliki termasuk di dalamnya keterbatasan kakas yang ada. 3. Mahasiswa mampu mengkritisi dan mengevaluasi solusi-solusi keinformatikaan yang diterapkan untuk menjawab persoalan tertentu, memahami akibat yang mungkin muncul dengan adanya teknologi baru terhadap sebuah lingkungan.Apakah teknologi tersebut akan meningkatkan atau malah menurunkan kualitas hidup manusia secara individu, kelompuk, maupun institusi. 4. Mahasiswa mampu memahami bagaimana bekerja secara profesional. 5. Mahasiswa mampu memahami dan mempraktikkan cara berkomunikasi yang efektif. ",social and professional issue
"Pengantar arsitektur computer: system computer Representasi data: byte, string, integer, floating points Representasi level mesin: konsep, format data, modus pengalamatan, operasi aritmetika dan logika, kendali, prosedur, alokasi array, struktur data heterogen, compile, linking dan optimasi program: static linking, dynamic linking, symbol dan table symbol, file object, shared libraries, file biner executable Hierarki memory: teknologi penyimpanan, cache, RAM, disk, solid state I/O dan interrupt: sinyal, exception, I/O utk level system, file",sistem komputer
"Konsep system operasi, manajemen proses, manajemen memory, manajemen file dan device I/O, proteksi dan keamanan system computer, system operasi untuk sistem terdistribusi",sistem komputer
"Pengantar ke jaringan computer, arsitektur jaringan computer, perangkat keras jaringan computer & data link layer, model dasar dari jaringan dgn switch, protocol kerja internet, layer transport (TCP/UDP), kendali congestion dan alokasi sumber daya, layer aplikasi dan keamanan jaringan",sistem komputer
"Review TCP/IP Arsitektur QoS Internet: integrated services, differentiated services, MPLS Traffic & bandwidth management Firewall & NAT Protokol routing: border gateway protocols Implementasi protokol jaringan pada sistem Linux Sekuriti dan Teknologi Pengamanan Jaringan: sniffing, penetration testing, spoofing, man in the middle attack, intrusion detection",sistem komputer
"Distributed computing: forms of computing, OS & language supports Architecture of distributed computing: message based, RPC, bus, peer to peer, distributed objects, service oriented Interprocess communications: event synchronization, socket, mode Client-server paradigm Design of high performance server Group communications Distributed objects Message queue based paradigm Peer to peer applications",sistem komputer
"Pengenalan Multimedia Konsep dasar Text Konsep dasar Sound Konsep dasar Image, Graphic, & Animation Sensor, Camera, & Graphic Adapter Video Encoding Video and Audio Streaming Multimedia Container Interaksi user Pemrograman Multimedia pada Framework aplikasi Android",sistem komputer
"Dasar IAS, keamanan jaringan, pengantar kriptografi, manajemen resiko, kebijakan dan pengaturan keamanan, digital forensics, keamanan pada administrasi sistem and arsitektur, keamanan pd SDLC",sistem komputer
"understands the history of computer architecture and the trends of modern computer architecture towards multicore, understands how data (numeric and non-numeric) is represented in computer, understands how an instruction is executed in a classical von neumann machine, Describe instruction level parallelism and hazards, and how they are managed in typical processor pipelines, demonstrate how to map from high level language patterns to low level/machine level notation, identify main types of memory technology and the principles of memory management, Explain how interrupts are used to implement I/O control and data transfers, understand the concept of parallel processing beyond the simple von neumann architecture ",sistem komputer
Students are able to recognize the role and basic function of operating system correctly. Students are able to demonstrate the advanced utilization of operating system. Students are able to understand the concept underlying the design and implementation of operating system. Students are able to analyze for comprehending particular design of operating system along with its impact againts the performance of. operating system. Students are able to demonstrate the skill for developing simple modules which support the functionality of the operating system ,sistem komputer
Mahasiswa memahami prinsip dasar dan fungsi dari sebuah platform. Mahasiswa dapat mendesain dan mengembangkan sebuah piranti lunak pada sebuah platform khusus. Mahasiswa dapat mengukur dan memperbaiki kinerja piranti lunak yang telah dibangung pada sebuah platform . ,sistem komputer
"memahami prinsip dasar kerja protokol yang digunakan pada Internet memahami rasional desain protokol yang digunakan pada Internet memahami aspek performansi dan penanganan kemacetan pada protokol TCP/IP memahami arsitektur umum untuk menyediakan QoS pada Internet serta trend perkembangannya memahami arsitektur dan cara kerja implementasi protokol pada router dan host, khususnya pada sistem operasi Linux mengembangkan implementasi protokol/aplikasi jaringan baru pada sistem berbasis Linux memahami teknik-teknik serangan pada jaringan, kakas yang digunakan dan bagaimana mengatasinya",sistem komputer
"apply problem solving (analysis, design, and development) skills to distributed applications able to identify and decompose complex systems into its components parts able to integrate OS and programming language concepts to solve/implement the (distributed) components of the systems  able to develop suites of networking protocols for implementing the communicating components able to evaluate or validate their implementations via simulations and/or realistic projects  ",sistem komputer
To introduce and familiarize students with multimedia basic concept including its modalities and the techniques of multimedia modality manipulation in order to enable students to develop computer program using multimedia ,sistem komputer
"Konsep dasar pada sistem paralel dan terdistribusi, fokus pada isu implementasi dan performansi yang terkait, model dan interface dari sistem paralel dan terdistribusi, arsitektur mesin paralel, teknik optimasi program paralel, sinkronisasi, konsistensi dan koherensi, fault tolerant dan reliability",sistem komputer
"Basics of parallelization and parallelization strategies Parallel/distributed programming models and interfaces - shared memory vs. message passing vs. remote procedure call (RPC) vs. global address space languages: e.g., pthreads, MPI, MapReduce, OpenMP, HPF, UPC, languagelevel threads (e.g., Java) Parallel machine architectures - shared and distributed memory machines, multicore and multithreaded chips, interconnection networks Parallel program optimization techniques - synchronization granularity, dependences, scheduling, load balancing Synchronization - hardware primitives, logical and physical clocks, mutual exclusion, distributed transactions, transactional memory Consistency and coherence - data-centric versus client-centric consistency models, cache coherence protocols Fault tolerance and reliability - fail-stop versus byzantine failure models, two- and three-phase commits, reliable group communication, checkpointing, message logging",sistem komputer
"Understands the basic concepts in parallel and distributed systems, understands several parallel programming models (pthreads, MPI, MapReduce, OpenMP), able to develop scalable parallel applications, able to develop scalable distributed applications, able to describe parallel architecture, able to describe synchronization mechanisms, able to describe consistency and coherence protocols, able to describe failure models of distributed systems, analyze fault tolerance properties of a system",sistem komputer
"Bahasa formal dalam model komputasi, proof technique, regular language, finite automata (deterministic, nondeterministic, nondeterministic with epsilon), konversi antar finite automata, regular expression, context free languages, pushdown automata, berbagai aplikasi automaton, turing machine.",intelligent system
"Kuliah ini mendeskripsikan materi tentang pemahaman mengenai intelligent system, intelligent agent, review berbagai teknik searching sebagai penerapan agen dengan level yang paling sederhana, beberapa jenis representasi pengetahuan dengan contoh logika dan production rules, pengenalan sistem berbasis pengetahuan, beberapa teknik pembelajaran mesin sederhana dan bagaimana mengukur kinerja dari tiap teknik yang dibahas, serta implementasi dari tiap level agen pada suatu aplikasi yang membantu manusia dalam menyelesaikan persoalan.",intelligent system
"Materi tersebut mencakup pengenalan, representasi berorientasi objek, deskripsi terstruktur, ontologi dan representasi dari pengetahuan suatu domain, representasi pengetahuan dalam konteks sosial, kombinasi objek dan rules, default & negation, penalaran temporal dan spasial, review SBP berbasis rule, penalaran berbasis model dan kasus, penalaran abduksi, penalaran kualitatif, review CSP, representasi aksi, penalaran dengan aksi, practical planning, abstraksi - reformulasi - dan aproksimasi",intelligent system
"Materi yang tercakup di dalamnya meliputi: supervised learning (generative/discriminative learning, parametric/non-parametric learning, neural networks, support vector machines), unsupervised learning (clustering, dimensionality reduction, kernel methods); learning theory (bias/variance tradeoffs; VC theory; large margins); reinforcement learning dan adaptive control. Kuliah juga membahas aplikasi pembelajaran mesin terkini seperti robotic control, data mining, autonomous navigation, bioinformatics, speech recognition, and text and web data processing secara sekilas.",intelligent system
"Materi yang dicakup dalam kuliah ini adalah pemrosesan leksikal kata, pemrosesan sintaks kalimat, named entity tagger, pemrosesan semantic kalimat, information extraction, question answering, machine translation, dialogue management, text categorization, speech recognition dan speech synthesis.",intelligent system
"Model formasi citra (system pencitraan, model kamera), fitur dan pemrosesan citra (representasi citra, deteksi batas), estimasi motion (komputasi optic, stereo vision, estimasi gerakan, struktur gerakan), segmentasi dan representasi bentuk (kurva, permukaan, kontur, fourier dan wavelet), pengenalan object (metode pengenalan, korespondensi bentuk, principal component analysis)",intelligent system
"Students understand the concept, notation and application of automata theory concept and formal language such as deterministic, nondeterministic, and their application in compiler, automata hierarchy, and formal language theory related with complexity limits from practical problem. Students able to design automaton (finite automata, pushdown automata, turing machine) for a specific problem",intelligent system
"Setelah lulus kuliah ini, mahasiswa memahami pentingnya management dan manajemen proyek, emahami siklus lengkap proses manajemen proyek perangkat lunak, memahami beberapa area keilmuan dalam manajemen proyek perangkat lunak, mampu mengelola proyek skala kecil dengan tim kecil (2-3 orang) dan menjadi pelaksana proyek yang baik",intelligent system
"Mahasiswa mampu membandingkan antara berbagai jenis representasi pengetahuan terstruktur, dengan menunjukkan kelebihan dan kekurangan masing-masing representasi mahasiswa mampu menjelaskan perbedaan antara penalaran temporal dan penalaran spasial. mahasiswa mampu menjelaskan perbedaan antara penalaran berbasis aturan/ rule, berbasis model, dan berbasis kasus. mahasiswa mampu membuat sebuah SBP sederhana dengan suatu representasi pengetahuan dan proses penalaran yang sesuai dengan representasi tersebut ",intelligent system
"mahasiswa menjelaskan perbedaan dari ketiga jenis pembelajaran (unsupervised, supervised, dan reinforcement). mahasiswa mampu mengimplementasikan algoritma sederhana untuk ketiga jenis pembelajaran tersebut. mahasiswa mampu memilih jenis pembelajaran yang tepat untuk kasus persoalan/ aplikasi tertentu. mahasiswa mampu melakukan evaluasi terhadap kinerja suatu algoritma pembelajaran pada kasus persoalan tertentu. mahasiswa mampu menjelaskan persoalan overfitting, serta mampu menjelaskan bagaimana deteksi dan solusinya",intelligent system
"mahasiswa mampu memahami bagaimana solusi yang ditawarkan suatu kakas pemroses bahasa alami, text mining dan sistem dialog. mahasiswa mampu merancang arsitektur untuk text mining dan sistem dialog. mahasiswa mampu memahami berbagai teknik pengenalan suara dan pembangkitan suara",intelligent system
To introduce and familiarize students with image interpretation concept including the recognition techniques of image in order to enable students to develop computer vision program,intelligent system
"Materi yang diberikan pada kuliah ini mencakup latar belakang kebutuhan sistem basis data dalam mendukung kebutuhan informasi, pengorganisasian data di dalam file, berbagai pendekatan dalam pemodelan data, pemodelan data di level konseptual dengan menggunakan pemodelan entity-relationship, model data relasional dan operasi relasional dengan aljabar relasional dan kalkulus relasional, perancangan skema basis data relasional dengan normalisasi berdasarkan functional dependency, bahasa query. [peningkatan performansi basis data, pengelolaan transaksi, pengelolaan basis data terdistribusi]",information management
"Materi yang diberikan pada kuliah ini mencakup peningkatan performansi basis data melalui perbaikan skema (termasuk indeks) dan query, pengelolaan keamanaan dan kontrol akses pengguna, pengelolaan transaksi serta pemulihan basis data saat terjadi gangguan, pemrograman basis data menggunakan fungsi dan prosedur tersimpan di basis data, penjagaan integritas basis data dengan memanfaatkan constraints, assertions, dan triggers, serta pengelolaan basis data terdistribusi.",information management
"Pada kuliah ini diberikan pengertian dan pengetahuan tentang jenis, fungsi, struktur dan peran sistem informasi berbasis komputer pada suatu organisasi. Selain itu mahasiswa juga diberikan kemampuan untuk melakukan analisis dan penetapan kebutuhan informasi organisasi, mentransformasikan kebutuhan kedalam rancangan sistem informasi yang sesuai dan menerapkannya ke dalam bentuk prototipe, sehingga organisasi dan manajemen akan lebih produktif, efisien, dan efektif sehingga diharapkan akan memiliki keunggulan untuk berkompetisi.",information management
"Materi yang diberikan pada kuliah ini merupakan wawasan dan pengetahuan mengenai pemodelan data tingkat lanjut. Perluasan pemodelan ini dapat dilakukan berdasarkan sejumlah pendekatan, yaitu: menambahkan sejumlah aspek semantik ke dalam basis data, misalnya aspek semantik waktu dan ruang; memperkenalkan model pendefinisian fakta yang baru berdasarkan fakta yang tersimpan di basis data, misalnya dengan menggunakan rule dalam pembangkitan fakta; memperkenalkan suatu pendekatan model data yang bukan relasional; maupun memperkenalkan pendekatan baru dalam melakukan pemodelan data.",information management
"Mata kuliah ini memberikan wawasan dan pengetahuan mengenai pemafaatan lebih lanjut dari data yang tersimpan di dalam basis data, terutama dalam mendukung business intelligence. Materi yang diberikan dapat bervariasi, mulai dari pemanfaatan data warehouse sebagai sarana untuk pengumpulan data bagi eksekutif, proses analisis terhadap data untuk menghasilkan data pendukung dalam pengambilan keputusan, pencarian pengetahuan dari data yang ada, hingga pemrosesan terhadap data berukuran besar.",information management
"Organization and IS Alignment, Value of Information System, Management Informations System, Decision Support System, Executive Information System, Intelligent Information System, Mid Test, IT/IS Governance Framework, Management of Information System, IS Risk Management (Business Continuity, Security and Privacy)",information management
Mahasiswa memiliki pemahaman mengenai peranan sistem basis data dalam pemenuhan kebutuhan akan informasi. Mahasiswa mampu melakukan pemodelan data skala kecil-menengah dengan menggunakan model entity relationship. Mahasiswa mampu merancang skema basis data relasional. Mahasiswa mampu mengimplementasikan sebuah basis data menggunakan DBMS Relasional. Mahasiswa mampu menemukan data dan informasi dari basis data serta memanipulasi data di dalam basis data dengan menggunakan SQL ,information management
Mahasiswa memiliki pemahaman mengenai berbagai fungsionalitas yang dimiliki oleh suatu sistem manajemen basis data. Mahasiswa mampu meningkatkan performansi basis data sesuai kebutuhan operasi di organisasi. Mahasiswa mampu menyusun batasan integritas basis data berdasarkan aturan bisnis organisasi dan mengimplementasikan di basis data. Mahasiswa mampu melakukan fungsi administrator basis data,information management
"Mahasiswa memahami konsep sistem informasi berbasis komputer, dan mampu melakukan analisis kebutuhan dan menetapkan kebutuhan informasi untuk suatu organisasi, serta merancang dan mengimplementasikan (dalam bentuk prototipe) ",information management
Mahasiswa memiliki pemahaman terhadap setiap topik yang diberikan. Mahasiswa mampu melakukan eksplorasi lebih lanjut untuk menerapkan masing-masing topik apa bila diperlukan,information management
Mahasiswa memiliki pemahaman terhadap setiap topik yang diberikan. Mahasiswa mampu melakukan eksplorasi lebih lanjut untuk menerapkan masing-masing topik apa bila diperlukan ,information management
1. Mahasiswa mampu membandingkan berbagai sistem informasi pada organisasi yag dibentuk untuk melayani level manajemen yang berbdea 2. Mahasiswa mampu menggunakan pengetahuan tersebut untuk menyelesaikan masalah organisasi 3. Mahasiswa dapat mengidentifikasi komponen penalaran non monotonik serta membandingkannya dengan proses penalaran monotonik 4. Mahasiswa memiliki pengetahuan tentang tata kelola informasi pada organisasi ,information management
"Image creation, framebuffer, primitive object drawing, Bresenham algorithm, Geometry Transformation, windowview, layering, clipping, object filling, anti-clipping optimization, spatial data structure, hierarchical modeling, Bezier & Spline curve",graphics and visualization
"Bahasan dalam kuliah ini bertujuan memberikan gambaran mengenai sistem yang melibatkan manusia sebagai konsumen informasi dan komputer yang mengolah dan menyajikan informasi, serta teknik-teknik yang mengoptimalkan komunikasi informasi dari komputer ke manusia sesuai dengan tujuan tertentu. Kuliah ini membahas mengenai sistem persepsi visual pada manusia, representasi objek visual, karakteristik dan analisis data dan informasi, transformasi data, teknik penggambaran, interaksi, dan metode rekayasa aplikasi yang menggunakan visualisasi dan metode evaluasi terhadap teknik visualisasi yang digunakan. Selain itu kuliah ini juga mencoba mengeksplorasi teknik dan media baru yang sedang berkembang untuk mendorong kolaborasi multidisiplin.",graphics and visualization
"3D object modeling, geometry processing, spatial data structure, graphic/spatial database management, advanced 3D rendering, 3D interaction",graphics and visualization
"Image creation, framebuffer, primitive object drawing, Bresenham algorithm, Geometry Transformation, windowview, layering, clipping, object filling, anti-clipping optimization, spatial data structure, hierarchical modeling, Bezier & Spline curve",graphics and visualization
