judul_proposal,deskripsi
"Genomic Data Mining Untuk  Prediksi Resiko Penyakit Kompleks Dalam Rangka Menunjang Personalized Medicine Personalized Medicine adalah metode pengobatan personal yang mengutamakan kondisi individu terkait dengan penyakit yang dideritanya. Metode ini melibatkan identifikasi informasi genetik, genom, dan informasi klinis untuk mendukung proses diagnosis dan prediksi kerentanan individu terkait perkembangan penyakit, penyebab penyakit, dan response terhadap treatment yang akan diberikan. Riset terakhir menunjukkan bahwa metode analisa interaksi antar single-nucleotide polymorphisms (SNPs) dan data DNA microarray dapat menjadi prediktor yang cukup efektif untuk resiko penyakit. Karena adanya kemajuan di bidang bioteknologi, data yang dihasilkan dari berbagai eksperimen saat ini tersedia dalam jumlah yang besar. Keberadaan teknologi penyimpanan data yang semakin murah dan cepat serta database management sytem (DBMS) yang mampu menangani data dalam jumlah yang lebih banyak juga mendukung hal ini.Berbagai algoritma data mining dapat diterapkan pada data genomik untuk mempelajari relasi antar gen dan penyakit. Data mining merupakan proses untuk mengekstraksi pola dari data. Beberapa problem utama data mining antara lain mencakup klasifikasi, clustering, asosiasi, visualisasi, estimasi, deteksi deviasi, dan analisis relasi. Beberapa tantangan yang dihadapi dalam data mining untuk data genomik mencakup bagaimana menghindari false positive yang diakibatkan oleh jumlah atribut yang besar dan data sampel yang terlalu sedikit, ketahanan terhadap noise, dan bagaimana membangun model yang dapat dimengerti oleh para ahli biologi sebagai pengguna utama.Penelitian ini merupakan bagian dari penelitian jangka panjang yang bertujuan untuk mewujudkan personalized medicine, yakni layanan kesehatan yang disesuaikan untuk setiap individu berdasarkan variasi genetik yang dimilikinya. Tahap awal dari penelitian bertujuan untuk menentukan metode data mining yang tepat untuk dapat menentukan resiko seseorang untuk menderita penyakit tertentu berdasarkan data genetiknya. Tahap berikutnya mencakup studi untuk mengintegrasikan data genomik yang berbeda-beda jenisnya berikut data klinis pasien untuk meningkatkan akurasi hasil prediksi. Pengetahuan yang diperoleh dari tahap awal ini selanjutnya akan digunakan sebagai basis pengetahuan untuk knowledge-base system yang mendukung pengambilan keputusan di institusi pelayanan kesehatan mengenai bagaimana perawatan terhadap pasien seharusnya dilakukan berdasarkan data genetik pasien tersebut. Pada tahap akhir, akan dikembangkan sistem penunjang personalized medicine terintegrasi yang memungkinkan keseluruhan proses dapat dilakukan secara otomatis.Fokus dari penelitian pada proposal ini adalah menerapkan algoritma data mining pada data genomik untuk memprediksi resiko seseorang terhadap penyakit tertentu. Tahapan penelitian yang dilakukan mencakup pengumpulan dan filtering data, reduksi dimensionalitas data, representasi fitur, klasifikasi, dan validasi",information management
"PENGEMBANGAN BEBERAPA ALGORITMA ENKRIPSI SELEKTIF UNTUK CITRA DIGITAL  DENGAN MENGGUNAKAN FUNGSI CHAOS Enkripsi citra digital merupakan salah satu cara untuk melindungi pengaksesan citra dari pihak yang tidak berhak. Enkripsi citra dapat dilakukan dalam ranah spasial, ranah frekuensi, atau gabungan keduanya. Karena citra mengandung volume data yang besar, maka teknik enkripsi selektif bertujuan untuk mengurangi waktu enkripsi/dekripsi.Penelitian ini bertujuan untuk mengembangkan beberapa buah algoritma enkripsi selektif untuk citra digital. Untuk mendapatkan algoritma enkripsi yang aman, maka digunakan fungsi chaos dalam fungsi enkripsi. Sistem chaos cocok diterapkan untuk data security, sebab chaos memiliki sifat yang sensitif terhadap perubahan kecil parameter nilai. Selain itu sistem chaos tidak mempunyai periode yang berulang sehingga chaos aman dari analisis statistik untuk menemukan parameter rahasia.Dari beberapa algoritam enkripsi selektif yang akan dihasilkan dari penelitian ini, selanjutnya  dilakukan perbandingan kinerja algoritma sehingga dapat diketahui algoritma yang terbaik  untuk mengenkripsi citra. Semua algoritma tersebut diimplementasikan ke dalam bentuk program komputer sehingga dapat digunakan untuk aplikasi komersil. Kata kunci: enkripsi citra, selektif, chaos, algoritma",algoritma dan pemrograman
"Pengembangan Sistem Interaktif untuk Peringkasan Multi Paper Sistem peringkasan multi-paper dapat memberikan overview mengenai suatu topik dari koleksi makalah sesuai kebutuhan informasi para peneliti. Sistem ini diharapkan dapat membantu para peneliti yang menghadapi persoalan keterbatasan waktu untuk mengeksplorasi makalah ilmiah yang relevan dengan kebutuhannya dari 50 juta makalah ilmiah yang ada. Penelitian ini dilakukan untuk melengkapi metoda peringkasan dokumen ilmuah yang telah dikembangkan sebelumnya dengan model interaksi agar sistem lebih mudah dipelajari, efektif digunakan, dan memberikan pengalaman positif bagi pengguna. Walaupun sudah ada beberapa penelitian terkait yang mengeksplorasi model interaksi sistem peringkasan multi-dokumen,  masih terdapat beberapa kelemahan utama, diantaranya adalah adanya satu jenis ringkasan saja yang harus dipakai untuk semua pengguna (one size fits all, yang selalu sesuai dengan kebutuhan pengguna), sulitnya ringkasan untuk diinterpretasi, serta penyajian ringkasan yang tidak mempertimbangkan level-level  level interaksi.<br><br> Penelitian ini bertujuan mendesain model interaksi untuk sistem peringkasan multi-paper dengan pendekatan berpusat pada pengguna. Penelitian akan dilakukan dalam empat tahap yaitu tahap identifikasi kebutuhan peneliti, tahap pengembangan desain alternatif, tahap pembangunan setiap desain alternatif, dan tahap evaluasi model interaksi. <br><br>Kontribusi utama yang diharapkan dari penelitian ini adalah model interaksi yang dapat digunakan untuk mendesain representasi ringkasan multi-paper sehingga lebih mudah diinterpretasikan oleh penggunanya, dan level interaksi yang diperlukan dalam eksplorasi kumpulan makalah ilmiah.  Sistem interaktif untuk peringkasan multi-paper yang akan dihasilkan dalam penelitian ini dapat dimanfaatkan oleh civitas akademia untuk membantu kegiatan penelitian dan pendidikan bukan saja di ITB tetapi juga pada institusi riset dan pendidikan di dalam dan di luar negeri.<br><br><b>Kata kunci</b>: peringkasan, multi-paper, makalah ilmiah, model interaksi, pendekatan berpusat pada pengguna",software engineering
"Algoritma Resampling Baru dan Konsep Partikel Fleksibel pada Filter Partikel untuk Penentuan Lokasi pada Robot Wahana Gerak Mandiri Wahana gerak mandiri (Autonomous Mobile Robot) adalah suatu wahana bergerak yang memiliki kemampuan navigasi secara mandiri untuk menyelesaikan misinya. Konsep kognisi yang diterapkan di dalam wahana gerak mandiri memungkinkan wahana dapat meraba dan membuat representasi lingkungannya, dapat membuat keputusan secara mandiri berdasarkan representasi lingkungan yang dihadapinya, serta dapat beraksi dalam lingkungan nyata untuk menyelesaikan tugasnya. Konsep kognisi ini kemudian menjadi landasan bagi pengembangan kemampuan navigasi di dalam wahana gerak mandiri. Kemampuan kognisi dalam sistem navigasi wahana gerak mandiri tersebut meliputi kemampuan untuk mengetahui posisinya, mengetahui apa yang terdapat dalam lingkungan sekitarnya, membuat representasi/model dari lingkungan kerjanya, membuat rencana kerja berdasarkan representasi yang dimilikinya, dapat bergerak dan membuat keputusan bila kondisi lingkungan berbeda dengan representasi yang dimilikinya. Interaksi antara wahana gerak mandiri dengan lingkungannya tersebut dilakukan melalui sekumpulan sensor dan aktuator yang memiliki keterbatasan. Keterbatasan tersebut dapat berupa ketidakpastian sensor, ketidakpastian aktuator dan ketidakpastian struktur platform. Hal ini tidak memungkinkan implementasi konsep kognisi dalam sistem navigasi dilakukan secara deterministik. Implementasi probabilistik dalam implementasi sistem navigasi kognitif diharapkan dapat mengatasi keterbatasan ini.Sistem navigasi wahana gerak mandiri dibangun dengan membuat perangkat lunak yang dijalankan pada perangkat keras wahana. Perangkat lunak tersebut berisi aturan-aturan, metoda atau algoritma navigasi yang mengimplementasikan fungsi-fungsi seperti perabaan (sensing), pembuatan peta (mapping), estimasi posisi (localization), perencanaan jalur dan pencarian tujuan (path planning and goal finder), penghindaran tabrakan (collision avoidance), dan aksi (action). Seluruh fungsi navigasi ini disusun dalam suatu arsitektur yang disebut arsitektur sistem navigasi wahana gerak mandiri.Pada penelitian ini diusulkan sebuah algoritma probabilistik baru untuk penentuan lokasi robot. Framework dasar yang dipakai adalah Filter Partikel. Di dalam filter partikel untuk penentuan lokasi tersebut akan dipakai algoritma resampling baru dan konsep partikel fleksibel, sehingga kebutuhan sensor yang dipakai bisa menjadi lebih sedikit dan sederhana. Dengan adanya algoritma penentuan lokasi ini, diharapkan dapat dikembangkan wahana gerak mandiri yang robust dan murah untuk aplikasi nyata seperti robot untuk pencarian korban bencana, robot surveillance untuk keperluan militer dan robot pemandu untuk difabel.",algoritma dan pemrograman
"Pembangkitan Peta Penelitian Otomatis dari Kumpulan Makalah Ilmiah Mengidentifikasi persoalan riset (research problem) yang dapat memberikan kontribusi ilmiah adalah salah satu tahapan penting dalam suatu penelitian. Persoalan dari suatu topik riset dapat dieksplorasi apabila peneliti memahami betul rangkaian peta jalan dan perkembangan kemajuan penelitian dari topik tersebut. Peta jalan penelitian dapat direkonstruksi dari ringkasan penelitian berdasarkan kumpulan makalah yang relevan. Pembuatan dan/atau pemahaman peta jalan penelitian pada suatu topik tertentu memerlukan usaha yang cukup besar dan waktu yang tidak sedikit.<br><br>Proposal ini mengusulkan rangkaian kegiatan penelitian yang bertujuan untuk pengembangan sistem yang dapat membangkitkan peta jalan penelitian (research roadmap) secara otomatis  dari kumpulan makalah eksperimental. Pendekatan yang akan dilakukan adalah dengan membagi proses pembangkitan peta jalan menjadi dua tahap. Tahap pertama adalah mengidentifikasi kebutuhan peta jalan penelitian dan mengembangkan teknik visualisai dan interaksi untuk pembangkitan peta penelitian secara dinamik.  Penelitian pada tahun kedua berfokus pada eksplorasi dan pengembangan teknik-teknik yang tepat untuk ekstrasi informasi data-data penelitian dari makalah ilmiah, khususnya yang berkategori makalah eksperimenta. Proposal ini mengusulkan kegiatan penelitian pada tahapan yang pertama. Metode pembangkitan peta jalan penelitian secara otomatis yang sesuai dengan kebutuhan penggunanya saat ini belum pernah dikembangkan oleh peneliti lain.<br><br> Ada tiga kontribusi ilmiah yang ditawarkan oleh penelitian ini. Pertama adalah pengembangan building plan untuk mendefinisikan spesifikasi pembangkitan peta jalan. Building plan ini memberikan fleksibilitas penggunanya dalam menentukan alur, jenis informasi dan cara visualiasi peta jalan penelitian. Kontribusi kedua adalah sekumpulan metode untuk ekstraksi kalimat dan informasi retorik yang diperlukan untuk membuat Profil Retorik Dokumen. Kontribusi yang ketiga adalah tersedianya korpus (kumpulan dokumen teranotasi) yang akan menjadi standar dan acuan dalam penelitian di bidang peringkasan dokumen, khususnya untuk pembangkitan peta jalan penelitian.",intelligent system
"Pengembangan Sistem Perangkat Lunak Pemilahan Frekuensi Napas untuk Diagnosis Penyakit Paru dan Saluran Pernapasan Penelitian ini diawali dari pembelajaran metoda diagnosis dini penyakit pernapasan influenza, yang diinspirasi dari metoda diagnosis auskultasi (auscultation) yakni mendengarkan suara paru-paru dengan alat bantu stetoskop, untuk mendiagnosis penyakit paru yang mungkin menulari seseorang. Dari studi pendahuluan yang dilakukan oleh tim peneliti ke Balai Besar Kesehatan Paru Masyarakat Kota Bandung, ada 2 penyakit sistem pernapasan dan 5 penyakit paru yang menjangkiti penduduk kota Bandung khususnya dan Indonesia umumnya. Penyakit sistem pernapasan ini berpengaruh terhadap seluruh sistem pernapasan manusia termasuk yaitu: (a) saluran pernapasan: trachea, bronchus; dan (b) paru-paru. Adapun 5 penyakit paru yang paling banyak menulari, yaitu:<br>1. TBC: penyakit paru-paru<br>2. Bronkhitis: penyakit bronchi/saluran pernapasan<br>3. Asthma: penyakit bronchi/saluran pernapasan<br>4. PPOK: penyakit paru-paru atau saluran pernapasan<br>5. Influenza: penyakit paru-paru atau saluran pernapasan<br><br>Didasari kategori penyakit paru dan saluran pernapasan tersebut, maka dibutuhkan suatu proses pemilahan frekuensi napas menjadi frekuensi paru dan frekuensi saluran pernapasan. Dengan dilakukannya pemilahan frekuensi, maka proses diagnosis penyakit-penyakit tersebut dapat dilakukan dengan lebih akurat dan cepat. Apabila penyakit yang diderita adalah penyakit paru atau paling tidak telah mencapai organ paru-paru, maka kondisi kritis dan fatal mungkin terjadi karena virus dan bakteri dapat menghancurkan alveoli merupakan bagian vital dari organ paru-paru, sehingga penyakit paru akan mendapat prioritas utama dalam melakukan tindakan kuratif. Untuk proses pemilahan frekuensi napas ini, beberapa metoda yang telah diusulkan dan dikembangkan dalam beberapa penilitian sebelumnya antara lain:<br>1. Modulation filtering<br>2. Adaptive filter techniques<br>3. Wavelet denoising<br>4. Time frequency filtering<br>5. Independent component analysis<br><br>Dalam proposal penelitian ini, teknik modulasi filter (modulation filtering) diusulkan untuk digunakan sebagai pemroses untuk pemilahan suara napas dalam bentuk spektogram. Diharapkan dengan menggunakan teknik ini, frekuensi suara napas dapat diidentifikasi dan kemudian dibagi menjadi frekuensi suara paru dan frekuensi suara saluran pernapasan. Lebih lanjut, dalam penelitian ini juga akan dilakukan pengujian dan konfirmasi tentang keakuratan teknik modulasi filter yang diusulkan untuk dibandingkan dan/atau dikombinasikan dengan teknik lain yang sudah ada. Tujuan akhir dari penelitian ini adalah untuk menghasilkan piranti (tool) untuk mendiagnosis penyakit paru dan saluran pernapasan. Diharapkan dengan piranti tersebut, memungkinkan peningkatan mobilitas dokter/paramedis ke daerah pedalaman untuk hasil yang lebih akurat dalam proses diagnosis penyakit paru dan saluran pernapasan tertentu.<br><br>Lebih dalam lagi, dari penelitian ini diharapkan dapat dihasilkan suatu alat diagnosis dini (first hand tools) untuk mendiagnosis penyakit paru atau pernapasan dengan tujuan untuk meningkatkan aksesabilitas (accessability) pasien dalam proses diagnosis penyakit paru dan saluran pernapasan, yang dimungkinkan karena mobilitas paramedis ke daerah pedalaman untuk menghasilkan diagnosis dini ini. Sasaran yang ingin dicapai dari peningkatan aksesabilitas ini adalah hasil diagnosis yang lebih cepat dan juga akurat, supaya tindakan kuratif dapat dilakukan dengan segera. Keluaran dari penelitian ini diharapkan mampu menghasilkan suatu aplikasi berbasis selular untuk meningkatkan mobilitas paramedis/dokter. Selain aplikasi berbasis seluler, keluaran lainnya adalah makalah-makalah untuk didiseminasikan pada seminar internasional dan/atau dipublikasikan dalam jurnal nasional terakreditasi atau jurnal internasional. Untuk mendukung proses transfer-of-technology dan menggiatkan iklim penelitian, penelitian ini juga akan melibatkan mahasiswa S1 maupun S2 dimana hasilnya akan menjadi bagian dari tugas akhir atau tesis yang akan dilaporkan.",software engineering
"Pengembangan Sistem Peringkasan Progresif Otomatis untuk Kumpulan Makalah Ilmiah Sistem peringkasan otomatis kumpulan makalah dapat membantu peneliti dalam mencari informasi yang penting dan relevan dengan efisien, tetapi sistem ini umumnya tidak memperhitungkan informasi yang telah diketahui oleh penggunanya.  Kelemahan ini diperbaiki oleh sistem peringkasan progresif. Ringkasan progresif akan berisi  informasi penting yang belum ada pada kumpulan makalah sebelumnya sehingga dapat meng-update pengetahuan pembacanya secara bertahap. Walaupun sistem peringkasan progresif sangat bermanfaat bagi peneliti untuk melakukan eksplorasi inkremental kumpulan makalah, penelitian peringkasan progresif baru dilakukan untuk kumpulan artikel berita. Karena metode peringkasan berita tidak dapat diaplikasikan langsung untuk meringkas kumpulan makalah, penelitian ini akan mengaplikasikan peringkasan progresif untuk kumpulan makalah dengan menggunakan pendekatan peringkasan kumpulan makalah berbasis struktur retorik makalah. Permasalahan yang dikaji dalam penelitian ini adalah bagaimana mengembangkan model yang dapat mengidentifikasi informasi penting dan baru dari suatu kumpulan makalah dengan mempertimbangkan kumpulan makalah yang telah dibaca oleh pengguna sebelumnya.  Aktivitas penelitian yang diusulkan secara garis besar dapat dibagi menjadi dua aspek yaitu penelitian dan pengembangan prototipe sistem peringkasan progresif sebagai penerapan hasil penelitian. Keluaran yang ditargetkan untuk kegiatan penelitian ini adalah satu  prototipe sistem peringkasan progresif skala lab, satu publikasi di jurnal nasional yang terakreditasi, satu publikasi di prosiding konferensi internasional, dan  dua  publikasi di prosiding konferensi nasional.",intelligent system
"Pengembangan Metode Berbasis Valid Database Untuk Penanganan Data Hilang Dalam Proses  Ekstraksi Struktur Bayesian Network Dari Data Tantangan utama dalam penelitian terkait KDD/Data Mining adalah efisiensi dan efektifitas metode yang akan bekerja dengan data besar (huge data/voluminous data).  Begitu juga dengan penelitian terkait dengan persoalan data hilang (missing data) yang umum dijumpai dalam kasus data besar. Penelitian untuk menangani persoalan tersebut telah banyak dilakukan dengan menghasilkan berbagai metode berbasiskan statistik.  Akan tetapi, kinerja dari metode metode ini belum optimal karena kompleksitasnya yang masih tinggi.Penelitian ini mengusulkan metode penanganan data hilang dalam KDD yang berbasiskan konsep machine learning. Metode yang diusulkan akan berbasiskan prinsip valid database yang akan diimplementasilkan pada persoalan ekstraksi struktur Bayesian Netowork dari data, yaitu dengan mengintegrasikan metode tersebut kedalam algoritma TPDA. Selanjutnya , pengujian perlu dilakukan untuk mengetahui robustness algoritma TPDA yang bekerja untuk data hilang.Inovasi dari penelitian ini adalah penerapan konsep machine learning dalam menangani persoalan data hilang. Sedangkan kontribusi yang diharapkan adalah algoritma yang efisien untuk menangani data hilang dalam proses ekstraksi struktur Bayesian Network dari data.",information management
"Penerapan Smart Gateway untuk  Mendukung Komunitas Guru Belajar (KGB) di Bandung, Cianjur, dan Subang _ Jawa Barat Pusat Penelitian Teknologi Informasi dan Komunikasi, Institut Teknologi Bandung (PPTIK-ITB) bekerja sama dengan Universitas Pendidikan Indonesia (UPI) mengembangkan konsep TIK untuk Guru sebagai upaya untuk turut berkontribusi bagi peningkatan kualitas pendidikan nasional. Konsep tersebut melibatkan pemanfaatan teknologi informasi dan komunikasi (TIK) yang menyediakan layanan-layanan pembelajaran kolaboratif di antara para guru sehingga terbangun suatu Komunitas Guru Belajar (KGB). Di dalam KGB, para guru dapat saling belajar, berbagi dan bertukar pikiran meskipun mereka tidak berada bersama-sama pada suatu tempat namun dilakukan secara virtual melalui pendayagunaan teknologi pembelajaran.Salah satu layanan TIK dalam KGB yang populer digunakan oleh para guru dari jaringan testbed Subang (Jawa Barat) dan Keerom (Papua) yang merupakan dua jaringan testbed yang dikembangkan oleh PPTIK-ITB sejak tahun 2009 adalah ruang chatting. Layanan ini sering juga disebut sebagai layanan online bersama. Untuk melakukan online bersama, guru menggunakan komputer yang tersambung ke Internet dan selanjutnya mengakses aplikasi ruang chatting.Penelitian ini bertujuan untuk menerapkan sistem Smart Gateway yang merupakan sebuah sistem chatting yang tidak bergantung pada ketersediaan koneksi Internet sehingga diharapkan dapat senantiasa melibatkan para guru anggota KGB di mana pun. Untuk sekolah yang sedang atau memang tidak memiliki koneksi Internet, para guru dapat menggunakan perangkat seluler/handphone untuk mengakses diskusi online melalui komunikasi Short Messaging System (SMS).Dengan adanya layanan Smart Gateway yang dapat diakses melalui jaringan Internet maupun SMS, maka diharapkan kendala ini dapat ditanggulangi.Dengan layanan ini diharapkan guru yang terlibat dalam aktivitas Komunitas Guru Belajar tidak melewatkan diskusi pada kegiatan online bersama pada waktu yang ditentukan, karena guru dapat mengakses layanan ini baik dengan koneksi jaringan Internet bila tersedia maupun melalui layanan SMS bila koneksi jaringan Internet terganggu atau tidak tersedia.",software engineering
"Pemberdayaan Komunitas Guru di Cianjur untuk Mendukung Gerakan Guru Melek Internet (GGMI) Isu pokok usulan kegiatan penelitian ini adalah bagaimana membangun knowledge society dan knowledge economy bagi masyarakat pedesaan melalui pemanfaatan teknologi informasi dan komunikasi (TIK). Ada pun tujuan program pengabdian masyarakat (PPM) ini adalah memberdayakan komunitas guru di Cianjur untuk mendukung Gerakan Guru Melek Internet (GGMI). Penerapan teknologi di masyarakat merupakan suatu proses yang memakan waktu tidak sedikit. Terlebih jika dikehendaki keberlanjutan (sustainability) program yang terlaksana secara mandiri. Program ini akan menguatkan aspek penerapan teknologi dari penelitian MP3EI. Selain itu, aspek pemberdayaan masyarakat dilakukan dengan program alih teknologi, pendampingan guru dalam pemanfaatan teknologi, dan pendampingan guru dalam rangka peningkatan kompetensi dan profesionalisme. Melalui Gerakan Guru Melek Internet (GGMI), guru diajak memanfaatkan perkembangan teknologi informasi dan komunikasi dalam menunjang pembelajaran yang kreatif, inovatif, dan mudah dimengerti siswa. Untuk itu, guru perlu terus didorong untuk menumbuhkan rasa percaya diri dan kompetensi dalam memanfaatkan teknologi informasi untuk pembelajaran. Oleh karena itu, kegiatan penelitian ini akan mendukung GGMI melalui penerapan dan implementasi PSS akses informasi/multimedia. Program ini bertujuan untuk memberdayakan komunitas guru di Cianjur untuk mendukung GGMI. Program ini menggunakan best-practices di bidang telekomunikasi dan Internet sebagai kerangka acuannya. Untuk dapat menerapkan dan mengimplementasikan PSS akses informasi/multimedia, kegiatan ini akan menggunakan suatu metodologi yang memiliki beberapa tahapan, yaitu sosialisasi program, alih teknologi, pendampingan guru, pelatihan melek Internet, dan publikasi ilmiah. Penerapan teknologi di dalam bidang pendidikan ini akan menghasilkan platform pembangunan masyarakat yang akan menjadi entry point bagi pembangunan masyarakat pada bidang-bidang lain termasuk bidang kesehatan, pertanian, serta perekonomian menuju knowledge-society dan economy-society.",social and professional issue
"Pemanfaatan Media Sosial untuk Peningkatan Usaha bagi Start-Up Company Start-up Company adalah perusahaan yang belum lama beroperasi. Perusahaan ini sebagian besar merupakan perusahaan yang baru didirikan dan berada dalam fase pengembangan dan penelitian untuk menemukan pasar yang tepat. Antusiasme start-up company banyak diminati oleh kalangan muda, sebab bisnis start-up merupakan usaha minim modal namun kaya kreativitas. Start-up company dirancang untuk tumbuh secara cepat, berani beda, dan mencoba sesuatu yang baru. Walaupun digagas oleh kaum muda, mereka seringkali bingung dalam melakukan strategi pemasaran yang tepat untuk produk yang telah dibuat.Salah satu strategi pemasaran yang dapat diimplementasikan oleh start-up company adalah e-commerce dengan pemanfaatan media sosial. Bagi start-up company, optimasi media sosial  sebagai salah satu marketing tools menjadi sangat penting, mengingat pebisnis pemula membutuhkan kejelian melihat peluang, ketelitian memilah pasar, dan strategi penggunaan media baru yang paling cocok dengan target khalayaknya. Berdasarkan data yang ada, keberadaan media sosial diduga sangat potensial untuk mendukung kesuksesan start-up company. Oleh karenanya tujuan kegiatan Program Pengabdian Masyarakat yang diajukan dalam proposal ini adalah Pemanfaatan Media Sosial untuk Peningkatan Usaha bagi Start-Up Company. Aktivitas yang dilakukan adalah memberikan pelatihan, implementasi, pendampingan dan evaluasi penerapan media sosial untuk keperluan aktivitas perusahaan tersebut. Kegiatan akan dilaksanakan selama 6 bulan kalender dengan total biaya Rp. 40.000.000,-",enterprise computing
"Pembangkitan Peta Penelitian Otomatis  dari Kumpulan Makalah Ilmiah - Penelitian Lanjutan 2014 Mengidentifikasi persoalan riset (research problem) yang dapat memberikan kontribusi ilmiah adalah salah satu tahapan penting dalam suatu penelitian. Persoalan dari suatu topik riset dapat dieksplorasi apabila peneliti memahami betul rangkaian peta jalan dan perkembangan kemajuan penelitian dari topik tersebut. Peta jalan penelitian dapat direkonstruksi dari ringkasan penelitian berdasarkan kumpulan makalah yang relevan. Pembuatan dan/atau pemahaman peta jalan penelitian pada suatu topik tertentu memerlukan usaha yang cukup besar dan waktu yang tidak sedikit.<p>Proposal ini mengusulkan rangkaian kegiatan penelitian yang bertujuan untuk pengembangan sistem yang dapat membangkitkan peta jalan penelitian (research roadmap) secara otomatis  dari kumpulan makalah eksperimental. Pendekatan yang akan dilakukan adalah dengan membagi proses pembangkitan peta jalan menjadi dua tahap. Tahap pertama adalah mengidentifikasi kebutuhan peta jalan penelitian dan mengembangkan teknik visualisai dan interaksi untuk pembangkitan peta penelitian secara dinamik.  Penelitian pada tahun kedua berfokus pada eksplorasi dan pengembangan teknik-teknik yang tepat untuk ekstrasi informasi data-data penelitian dari makalah ilmiah, khususnya yang berkategori makalah eksperimenta. Proposal ini mengusulkan kegiatan penelitian pada tahapan yang pertama. Metode pembangkitan peta jalan penelitian secara otomatis yang sesuai dengan kebutuhan penggunanya saat ini belum pernah dikembangkan oleh peneliti lain. <p>Ada tiga kontribusi ilmiah yang ditawarkan oleh penelitian ini. Pertama adalah pengembangan building plan untuk mendefinisikan spesifikasi pembangkitan peta jalan. Building plan ini memberikan fleksibilitas penggunanya dalam menentukan alur, jenis informasi dan cara visualiasi peta jalan penelitian. Kontribusi kedua adalah sekumpulan metode untuk ekstraksi kalimat dan informasi retorik yang diperlukan untuk membuat Profil Retorik Dokumen. Kontribusi yang ketiga adalah tersedianya korpus (kumpulan dokumen teranotasi) yang akan menjadi standar dan acuan dalam penelitian di bidang peringkasan dokumen, khususnya untuk pembangkitan peta jalan penelitian.",intelligent system
"Pengembangan Sistem untuk Prediksi Kredibilitas Informasi dari Jejaring Sosial Online Salah satu peranan dari Jaringan Sosial Online (JSO)  adalah sebagai sumber berita, khususnya dalam kondisi darurat dan berita terbaru. Tetapi karakteristik informasi pada JSO yang terbuka, anonim, berasal dari sumber berlapis dan tanpa melalui pemeriksaan editorial membuat pengguna sulit menentukan tingkat kredibilitas suatu informasi. Informasi dengan kredibilitas rendah dapat menyebar dengan cepat dan menyebabkan keresahan sosial.   Penelitian ini diharapkan dapat menghasilkan model untuk memberikan anotasi semantik secara otomatis untuk kredibilitas informasi, khususnya yang berasal dari Jejaring Sosial Online. Selain itu, penelitian ini juga akan mengeksplorasi teknik untuk memberikan penjelasan.<p>Penelitian secara menyeluruh dibagi menjadi dua tahap. Tahap pertama (tahun 2014) adalah pembangunan korpus (koleksi contoh-contoh data dari jejaring sosial) dan anotasi elemen-elemen informasi yang terkandung di dalamnya. Anotasi ini memperlihatkan elemen penyusun kredibilitas (misal karakteristik sumber berita, jenis konten dlsb) , keterkaitan  antar elemen, dan prediksi tingkat kredibilitas suatu informasi. Setelah korpus terbentuk, selanjutnya akan dikembangkan metoda yang efektif untuk melakukan anotasi elemen-elemen penyusun kredibilitas secara otomatis. Tahap kedua (tahun 2015) akan dikaji keterkaitan antar elemen penyusun kredibilitas dan pemodelannya untuk menentukan tingkat kredibitas informasi. Pada tahap kedua ini juga akan dikembangkan komponen penjelasan kredibilitas untuk memberikan pemahaman yang lebih baik (yang akan meningkatkan derajat kepercayaan) mengapa sebuah informasi memiliki kredibilitas dengan level tertentu (misal, rendah, sedang atau tinggi). <p>Penelitian tentang pemodelan kredibilitas seperti yang diusulkan pada proposal ini sangat penting dan mendesak (urgent) untuk dilakukan. Penelitian ini sangat penting karena banyaknya penyebaran informasi melalui Internet, khususnya Jejaring Sosial Online, dari waktu ke waktu semakin meningkat dan cenderung tidak terkendali. Adanya sistem yang dapat memberikan prediksi kredibilitas informasi ini akan memperkaya informasi yang diterima oleh dan mempermudah pengguna JSO dalam menyikapinya, khususnya apabila informasi tersebut akan mempengaruhi pengambilan keputusan penting. Penelitian ini juga mendesak untuk segera dilakukan karena sudah ada banyak kasus yang mempergunakan penyebaran informasi melalui JSO untuk maksud-maksud yang kurang baik (misal, menyebarkan informasi yang menyesatkan atau salah) sehingga keberadaan sistem yang dibangun akan sangat membantu untuk mencegah atau setidaknya mengurangi dampak negatif yang  dapat ditimbulkan.",intelligent system
